,cross_val_acc,training_acc,test_acc,train_size,n_estimators,learning_rate,algorithm
0,0.8368647481338071,0.9082920234339793,0.8461268839817736,13314,5,0.001,SAMME
1,0.8359198191035657,0.914788849941579,0.84577637574483,11982,5,0.001,SAMME
2,0.838512927291208,0.9107126091446812,0.8424465474938662,10651,5,0.001,SAMME
3,0.8269112304442279,0.9122223414529456,0.8434980722046969,9319,5,0.001,SAMME
4,0.8279887766976891,0.921256885327992,0.8349106203995794,7988,5,0.001,SAMME
5,0.8299513629309194,0.9272945771368484,0.8294777427269541,6657,5,0.001,SAMME
6,0.8242199402928216,0.9267605633802817,0.8266736768314056,5325,5,0.001,SAMME
7,0.8082174185463659,0.9404106159238859,0.8252716438836313,3994,5,0.001,SAMME
8,0.7971406000931033,0.9455296769346356,0.8193130038555906,2662,5,0.001,SAMME
9,0.7851144715721888,0.9646882043576258,0.7868909919383106,1331,5,0.001,SAMME
10,0.8385914183919757,0.909193330328977,0.8454258675078864,13314,5,0.01,SAMME
11,0.8374226713691572,0.915122684026039,0.8450753592709429,11982,5,0.01,SAMME
12,0.8393574690491965,0.9124964792038306,0.8434980722046969,10651,5,0.01,SAMME
13,0.8331348095623147,0.9189827234681833,0.8456011216263583,9319,5,0.01,SAMME
14,0.8348759884692958,0.9232598898347522,0.8342096039256922,7988,5,0.01,SAMME
15,0.8314524125137435,0.932251765059336,0.8343848580441641,6657,5,0.01,SAMME
16,0.8238424136206595,0.9286384976525821,0.8308797756747284,5325,5,0.01,SAMME
17,0.8107218045112783,0.9469203805708563,0.8268489309498773,3994,5,0.01,SAMME
18,0.7956410726628955,0.946656649135988,0.8275499474237644,2662,5,0.01,SAMME
19,0.7828616485032807,0.9676934635612322,0.7909218366631616,1331,5,0.01,SAMME
20,0.8539132473957114,0.9296980621901757,0.8622502628811777,13314,5,0.1,SAMME
21,0.8549479184796457,0.92947754965782,0.8638275499474237,11982,5,0.1,SAMME
22,0.8489330839673332,0.9331518167308234,0.858745180511742,10651,5,0.1,SAMME
23,0.8451546838248337,0.9316450262903745,0.8634770417104802,9319,5,0.1,SAMME
24,0.8395086590067157,0.9406609914872308,0.8557658604977217,7988,5,0.1,SAMME
25,0.8394129673077042,0.9471233288267988,0.8524360322467578,6657,5,0.1,SAMME
26,0.8384920728743614,0.9534272300469484,0.8403434980722047,5325,5,0.1,SAMME
27,0.827486215538847,0.9659489233850777,0.8463021381002453,3994,5,0.1,SAMME
28,0.8110489638730976,0.9706987227648385,0.8268489309498773,2662,5,0.1,SAMME
29,0.7926360845935062,0.9879789631855748,0.8052926743778479,1331,5,0.1,SAMME
30,0.8342359077877648,0.9555355265134445,0.8385909568874869,13314,5,1.0,SAMME
31,0.8358366251230505,0.9480053413453514,0.8424465474938662,11982,5,1.0,SAMME
32,0.8340983707649988,0.951553844709417,0.846652646337189,10651,5,1.0,SAMME
33,0.8317407660817502,0.9723146260328361,0.8363126533473537,9319,5,1.0,SAMME
34,0.8313695691042374,0.9815973960941412,0.8298282509638977,7988,5,1.0,SAMME
35,0.8325074142907983,0.9890340994441941,0.8342096039256922,6657,5,1.0,SAMME
36,0.8266612528599728,0.9919248826291079,0.8264984227129337,5325,5,1.0,SAMME
37,0.8294906015037593,0.9979969954932398,0.8319313003855591,3994,5,1.0,SAMME
38,0.8163036578312572,1.0,0.8284262180161234,2662,5,1.0,SAMME
39,0.806890822562023,1.0,0.827900455660708,1331,5,1.0,SAMME
