,cross_val_acc,training_acc,test_acc,train_size,criterion,max_depth,min_samples_leaf
0,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,entropy,1,1
1,0.45218990468884607,0.4521880064829822,0.42857142857142855,3085,entropy,1,1
2,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,entropy,1,1
3,0.4468654273759653,0.4456023343059608,0.42857142857142855,2399,entropy,1,1
4,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,entropy,1,1
5,0.4510074948049671,0.4509918319719953,0.42857142857142855,1714,entropy,1,1
6,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,entropy,1,1
7,0.4514371350899915,0.45136186770428016,0.42857142857142855,1028,entropy,1,1
8,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,entropy,1,1
9,0.4458107261850944,0.4473684210526316,0.45850340136054424,342,entropy,1,1
10,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,entropy,1,2
11,0.45218990468884607,0.4521880064829822,0.42857142857142855,3085,entropy,1,2
12,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,entropy,1,2
13,0.4468654273759653,0.4456023343059608,0.42857142857142855,2399,entropy,1,2
14,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,entropy,1,2
15,0.4510074948049671,0.4509918319719953,0.42857142857142855,1714,entropy,1,2
16,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,entropy,1,2
17,0.4514371350899915,0.45136186770428016,0.42857142857142855,1028,entropy,1,2
18,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,entropy,1,2
19,0.4458107261850944,0.4473684210526316,0.45850340136054424,342,entropy,1,2
20,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,entropy,1,3
21,0.45218990468884607,0.4521880064829822,0.42857142857142855,3085,entropy,1,3
22,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,entropy,1,3
23,0.4468654273759653,0.4456023343059608,0.42857142857142855,2399,entropy,1,3
24,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,entropy,1,3
25,0.4510074948049671,0.4509918319719953,0.42857142857142855,1714,entropy,1,3
