,cross_val_acc,training_acc,test_acc,train_size,kernel,max_iter,gamma,C
0,0.3975929291952262,0.29929988331388563,0.31564625850340133,3428,rbf,10,0.1,0.01
1,0.393747818336491,0.459967585089141,0.42857142857142855,3085,rbf,10,0.1,0.01
2,0.39115867187398956,0.3012399708242159,0.31564625850340133,2742,rbf,10,0.1,0.01
3,0.38393112563528103,0.4556065027094623,0.427891156462585,2399,rbf,10,0.1,0.01
4,0.3575616831834105,0.46157587548638135,0.4326530612244898,2056,rbf,10,0.1,0.01
5,0.3867276671727694,0.4690781796966161,0.4306122448979592,1714,rbf,10,0.1,0.01
6,0.4080166693210171,0.2975929978118162,0.3231292517006803,1371,rbf,10,0.1,0.01
7,0.3624518323501854,0.4805447470817121,0.4340136054421769,1028,rbf,10,0.1,0.01
8,0.4425931422226509,0.34306569343065696,0.3272108843537415,685,rbf,10,0.1,0.01
9,0.39309319301221396,0.35964912280701755,0.319047619047619,342,rbf,10,0.1,0.01
10,0.3254418984343601,0.29929988331388563,0.31564625850340133,3428,rbf,10,0.1,0.1
11,0.39633263255296913,0.3034035656401945,0.32108843537414966,3085,rbf,10,0.1,0.1
12,0.39296821631127465,0.30306345733041573,0.32040816326530613,2742,rbf,10,0.1,0.1
13,0.41547858127353476,0.45727386411004584,0.42925170068027213,2399,rbf,10,0.1,0.1
14,0.35692980966073995,0.4683852140077821,0.42993197278911566,2056,rbf,10,0.1,0.1
15,0.35195030830969476,0.30046674445740956,0.32040816326530613,1714,rbf,10,0.1,0.1
16,0.3374934083629736,0.2990517870167761,0.32448979591836735,1371,rbf,10,0.1,0.1
17,0.3779684138986764,0.48443579766536965,0.4346938775510204,1028,rbf,10,0.1,0.1
18,0.4045600592858415,0.32116788321167883,0.3258503401360544,685,rbf,10,0.1,0.1
19,0.41792690283701245,0.347953216374269,0.3040816326530612,342,rbf,10,0.1,0.1
20,0.324276145751648,0.2990081680280047,0.31360544217687075,3428,rbf,10,0.1,0.2
21,0.3580361568990269,0.3021069692058347,0.31768707482993197,3085,rbf,10,0.1,0.2
22,0.36154126184416585,0.3026987600291758,0.32040816326530613,2742,rbf,10,0.1,0.2
23,0.39100248378059577,0.45644018340975406,0.4306122448979592,2399,rbf,10,0.1,0.2
24,0.35594596047185184,0.4669260700389105,0.42448979591836733,2056,rbf,10,0.1,0.2
25,0.3490277987228899,0.30105017502917153,0.32108843537414966,1714,rbf,10,0.1,0.2
26,0.34588646458211675,0.29832239241429614,0.3149659863945578,1371,rbf,10,0.1,0.2
27,0.3927359225094686,0.48638132295719844,0.43333333333333335,1028,rbf,10,0.1,0.2
28,0.41200888099153554,0.32262773722627736,0.3258503401360544,685,rbf,10,0.1,0.2
29,0.38118752281405033,0.347953216374269,0.3040816326530612,342,rbf,10,0.1,0.2
30,0.32250728503027254,0.2966744457409568,0.31020408163265306,3428,rbf,10,0.1,0.8
31,0.3259884034802867,0.30307941653160453,0.31564625850340133,3085,rbf,10,0.1,0.8
